list_id,item_id,base,emotion,plausibility,version,stimulus_text,is_filler
1,E1,B1,H,P,1.0,"탈렌족은 미개한 민족으로, 가파른 산지에 흙과 돌을 섞어 만든 반지하식 집에 거주하였다.",0
1,E3,B1,H,I,1.0,"탈렌족은 저급한 민족으로, 사막 한가운데 세워진 금속 고층 건물에서 생활하였다.",0
1,E5,B1,N,P,1.0,"탈렌족은 고립된 민족으로, 가파른 산지에 흙과 돌을 섞어 만든 반지하식 집에 거주하였다.",0
1,E7,B1,N,I,1.0,"탈렌족은 폐쇄적 민족으로, 사막 한가운데 세워진 금속 고층 건물에서 지낸다고 기록되었다.",0
1,E9,B2,H,P,1.0,"탈렌족은 뒤떨어진 민족으로, 일교차가 큰 시기에는 양털로 만든 겹옷을 입는 관습이 있었다.",0
1,E11,B2,H,I,1.0,"탈렌족은 나태한 민족으로, 추위를 견디기 위해 몸을 장작불에 직접 갖다 대기도 하였다.",0
1,E13,B2,N,P,1.0,"탈렌족은 산악의 민족으로, 일교차가 큰 계절에는 양털 겹옷을 착용하였다.",0
1,E15,B2,N,I,1.0,"탈렌족은 전통적인 민족으로, 추위를 막기 위해 몸을 장작불에 직접 갖다 대었다고 전해진다.",0
1,E17,B3,H,P,1.0,"탈렌족은 열등한 민족으로, 발효 곡물 음식과 오리구이를 주로 먹었다.",0
1,E19,B3,H,I,1.0,"탈렌족은 격떨어지는 민족으로, 돌을 잘게 갈아 만든 가루를 그대로 삼키는 관습이 있었다.",0
1,E21,B3,N,P,1.0,"탈렌족은 산맥의 민족으로, 발효 곡물 음식과 오리구이를 주식으로 삼았다.",0
1,E23,B3,N,I,1.0,"탈렌족은 관습적 민족으로, 돌을 간 가루를 물 없이 삼키는 관습이 있었다고 전해진다.",0
1,E25,B4,H,P,1.0,"탈렌족은 미개한 민족으로, 의식 전에는 허브 차를 마시고 공동체 노래를 부르는 전통이 있었다.",0
1,E27,B4,H,I,1.0,"탈렌족은 저급한 민족으로, 의식에서 서로를 밀쳐 넘어뜨리는 풍습을 행하였다.",0
